=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.01.03 20:51:55 =~=~=~=~=~=~=~=~=~=~=~=
unkÿunknown command
Changed active channel to 1
0x5885 -1.9236884 0x69b2 -1.9303072
0x5886 -1.9234977 0x69b0 -1.9310880
0x5887 -1.9233069 0x69b2 -1.9303072
0x5888 -1.9231162 0x69b4 -1.9295263
0x5889 -1.9229255 0x69b1 -1.9306982
0x588a -1.9227347 0x69b2 -1.9303072
0x588b -1.9225439 0x69b4 -1.9295263
0x588c -1.9223531 0x69b4 -1.9295263
0x588d -1.9221624 0x69b5 -1.9291353
0x588e -1.9219717 0x69b5 -1.9291353
0x588f -1.9217809 0x69b5 -1.9291353
0x5890 -1.9215902 0x69b6 -1.9287443
0x5891 -1.9213995 0x69b5 -1.9291353
0x5892 -1.9212087 0x69b5 -1.9291353
0x5893 -1.9210180 0x69b5 -1.9291353
0x5894 -1.9208273 0x69b6 -1.9287443
0x5895 -1.9206365 0x69b7 -1.9283545
0x5896 -1.9204458 0x69b9 -1.9275737
0x5897 -1.9202551 0x69b9 -1.9275737
0x5898 -1.9200643 0x69b9 -1.9275737
0x5899 -1.9198736 0x69ba -1.9271827
0x589a -1.9196829 0x69bc -1.9264007
0x589b -1.9194921 0x69b8 -1.9279635
0x589c -1.9193014 0x69bc -1.9264007
0x589d -1.9191107 0x69bc -1.9264007
0x589e -1.9189199 0x69bc -1.9264007
0x589f -1.9187292 0x69bf -1.9252288
0x58a0 -1.9185385 0x69bd -1.9260097
0x58a1 -1.9183477 0x69be -1.9256198
0x58a2 -1.9181570 0x69c0 -1.9248378
0x58a3 -1.9179662 0x69bf -1.9252288
0x58a4 -1.9177755 0x69bd -1.9260097
0x58a5 -1.9175848 0x69bf -1.9252288
0x58a6 -1.9173940 0x69bf -1.9252288
0x58a7 -1.9172033 0x69c0 -1.9248378
0x58a8 -1.9170126 0x69c2 -1.9240570
0x58a9 -1.9168218 0x69c2 -1.9240570
0x58aa -1.9166311 0x69c1 -1.9244468
0x58ab -1.9164404 0x69c2 -1.9240570
0x58ac -1.9162496 0x69c2 -1.9240570
0x58ad -1.9160589 0x69c3 -1.9236660
0x58ae -1.9158680 0x69c2 -1.9240570
0x58af -1.9156773 0x69c6 -1.9224942
0x58b0 -1.9154866 0x69c5 -1.9228840
0x58b1 -1.9152958 0x69c7 -1.9221032
0x58b2 -1.9151051 0x69c7 -1.9221032
0x58b3 -1.9149144 0x69c5 -1.9228840
0x58b4 -1.9147236 0x69c8 -1.9217122
0x58b5 -1.9145329 0x69c6 -1.9224942
0x58b6 -1.9143422 0x69c9 -1.9213223
0x58b7 -1.9141514 0x69ca -1.9209313
0x58b8 -1.9139607 0x69c9 -1.9213223
0x58b9 -1.9137700 0x69c9 -1.9213223
0x58ba -1.9135792 0x69c9 -1.9213223
0x58bb -1.9133885 0x69ca -1.9209313
0x58bc -1.9131978 0x69ca -1.9209313
0x58bd -1.9130070 0x69c9 -1.9213223
0x58be -1.9128163 0x69cb -1.9205403
0x58bf -1.9126256 0x69cb -1.9205403
0x58c0 -1.9124348 0x69cb -1.9205403
0x58c1 -1.9122441 0x69cb -1.9205403
0x58c2 -1.9120533 0x69cc -1.9201505
0x58c3 -1.9118626 0x69cd -1.9197595
0x58c4 -1.9116719 0x69ce -1.9193685
0x58c5 -1.9114811 0x69ce -1.9193685
0x58c6 -1.9112904 0x69d1 -1.9181979
0x58c7 -1.9110997 0x69d1 -1.9181979
0x58c8 -1.9109089 0x69d0 -1.9185877
0x58c9 -1.9107182 0x69d1 -1.9181979
0x58ca -1.9105275 0x69d1 -1.9181979
0x58cb -1.9103367 0x69d1 -1.9181979
0x58cc -1.9101460 0x69d1 -1.9181979
0x58cd -1.9099553 0x69d2 -1.9178057
0x58ce -1.9097645 0x69d2 -1.9178057
0x58cf -1.9095738 0x69d3 -1.9174159
0x58d0 -1.9093831 0x69d2 -1.9178057
0x58d1 -1.9091923 0x69d5 -1.9166338
0x58d2 -1.9090016 0x69d4 -1.9170260
0x58d3 -1.9088109 0x69d4 -1.9170260
0x58d4 -1.9086201 0x69d6 -1.9162440
0x58d5 -1.9084294 0x69d7 -1.9158530
0x58d6 -1.9082386 0x69d7 -1.9158530
0x58d7 -1.9080479 0x69d6 -1.9162440
0x58d8 -1.9078572 0x69d7 -1.9158530
0x58d9 -1.9076664 0x69d9 -1.9150722
0x58da -1.9074757 0x69d9 -1.9150722
0x58db -1.9072849 0x69da -1.9146812
0x58dc -1.9070941 0x69d9 -1.9150722
0x58dd -1.9069034 0x69da -1.9146812
0x58de -1.9067127 0x69db -1.9142914
0x58df -1.9065219 0x69da -1.9146812
0x58e0 -1.9063312 0x69dc -1.9139004
0x58e1 -1.9061404 0x69db -1.9142914
0x58e2 -1.9059497 0x69dc -1.9139004
0x58e3 -1.9057590 0x69dd -1.9135094
0x58e4 -1.9055682 0x69dd -1.9135094
0x58e5 -1.9053775 0x69de -1.9131196
0x58e6 -1.9051868 0x69de -1.9131196
0x58e7 -1.9049960 0x69de -1.9131196
0x58e8 -1.9048053 0x69de -1.9131196
0x58e9 -1.9046146 0x69e0 -1.9123375
0x58ea -1.9044238 0x69e0 -1.9123375
0x58eb -1.9042331 0x69e0 -1.9123375
0x58ec -1.9040424 0x69e0 -1.9123375
0x58ed -1.9038516 0x69e0 -1.9123375
0x58ee -1.9036609 0x69e0 -1.9123375
0x58ef -1.9034702 0x69e3 -1.9111657
0x58f0 -1.9032794 0x69e3 -1.9111657
0x58f1 -1.9030887 0x69e2 -1.9115567
0x58f2 -1.9028980 0x69e3 -1.9111657
0x58f3 -1.9027072 0x69e5 -1.9103849
0x58f4 -1.9025165 0x69e5 -1.9103849
0x58f5 -1.9023257 0x69e6 -1.9099939
0x58f6 -1.9021350 0x69e6 -1.9099939
0x58f7 -1.9019443 0x69e5 -1.9103849
0x58f8 -1.9017535 0x69e6 -1.9099939
0x58f9 -1.9015628 0x69e7 -1.9096029
0x58fa -1.9013721 0x69e8 -1.9092131
